"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="3239690511240955304",="2023030522001172251412671744","支付方式：支付宝，支付单号：2023030522001172251412671744，金额：322.00；","310.00","12.00","0","322.00","0","322.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:57:08","2023-03-05 14:57:17","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:772019666676445","申通快递","'p 284  Sandy、【木木 03-06 01:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:38:04",="p 284  Sandy、【木木 03-06 01:14】",=""
="1837603310636671271",="2023030522001132141408891612","支付方式：支付宝，支付单号：2023030522001132141408891612，金额：0.00；","708.00","12.00","0","720.00","0","0.00","0","交易关闭","null","快递","2023-03-05 14:54:28","2023-03-05 14:54:37","Nike Air Force 1 Low 低帮耐磨 防滑休闲板鞋 白绿蓝 DQ7767-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","720.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3239395238419440164",="2023030522001130961401354376","支付方式：支付宝，支付单号：2023030522001130961401354376，金额：822.00；","810.00","12.00","0","822.00","0","822.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:50:23","2023-03-05 14:50:29","Nike 耐克 Dunk Low 轻便防滑 经典运动休闲板鞋 棕黄 DX6038-741，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1150186233974","顺丰速运","'p 755  ***【木木 03-06 01:27】已阅","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 17:45:16",="p 755  ***【木木 03-06 01:27】已阅",=""
="3239236405220146639",="2023030522001152831412962732","支付方式：支付宝，支付单号：2023030522001152831412962732，金额：403.00；","391.00","12.00","0","403.00","0","403.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:40:45","2023-03-05 14:40:57","Nike耐克 AIR MAX 97 男女新款 潮流 运动休闲 跑步鞋 DH1085-700，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1389809715803","顺丰速运","'p 375  Frankie","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:23:30",="p 375  Frankie",=""
="3239198533503049710",="2023030522001132811411390885","支付方式：支付宝，支付单号：2023030522001132811411390885，金额：772.00；","760.00","12.00","0","772.00","0","772.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:25:58","2023-03-05 14:33:19","Nike Air Zoom G.T. Cut 2 减震防滑 耐磨实战篮球鞋  DJ6013-001","1","No:SF1501901003343","顺丰速运","'p 735顺  追梦人【木木 03-06 01:15】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:42:24",="p 735顺  追梦人【木木 03-06 01:15】",=""
="1837548879720307569",="2023030522001195121402088532","支付方式：支付宝，支付单号：2023030522001195121402088532，金额：12.00；","12.00","0.00","0","12.00","0","12.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:23:59","2023-03-05 14:24:02","邮费链接","1","No:SF1507230407105","顺丰速运","'p 690顺  张老五【木木 03-06 01:10】","12","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 14:39:31",="p 690顺  张老五【木木 03-06 01:10】",=""
="3238457868942229033",="2023030522001193571411596691","支付方式：支付宝，支付单号：2023030522001193571411596691，金额：759.00；","747.00","12.00","0","759.00","0","759.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:19:15","2023-03-05 14:19:23","Nike耐克 Dunk Low  复古耐磨 低帮轻便运动休闲鞋 灰 DQ5015-063，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663629539017","中通快递","'退货 765","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:23",="退货 765",=""
="3239570199937320252",="2023030522001103371436097074","支付方式：支付宝，支付单号：2023030522001103371436097074，金额：462.00；","450.00","12.00","0","462.00","0","462.00","0","卖家已发货，等待买家确认","null","快递","2023-03-05 14:06:23","2023-03-05 14:06:52","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663299103116","中通快递","'C 420 摇摆","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 20:32:57",="C 420 摇摆",=""
="3239567967503404717",="2023030522001132011454745624","支付方式：支付宝，支付单号：2023030522001132011454745624，金额：0.00；","590.00","12.00","0","602.00","0","0.00","0","交易关闭","null","快递","2023-03-05 14:04:31","2023-03-05 14:04:40","Nike Kyrie 8 欧文8代 男女耐磨 中帮缓震 实战篮球鞋 DC9134-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","602.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3239276834515280208",="2023030522001142111415720362","支付方式：支付宝，支付单号：2023030522001142111415720362，金额：0.00；","730.00","12.00","0","742.00","0","0.00","0","交易关闭","null","快递","2023-03-05 13:59:54","2023-03-05 14:02:58","Air Jordan 1 High AJ1 减震运动休闲实战篮球鞋 黑金 DQ0659-700","1","","null","'null","1","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","742.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
